h,w,lat,lon,n_cameras,addresses,violation_score,pred,preventative_score,enforcement_gap_score
12,53,41.7015,-87.6816,1,10540 S Western Ave,380.34556574923545,0.179979011879973,3.1159106942398154,-3.1159106942398154
13,84,41.7076,-87.5298,1,10318 S Indianapolis Ave,124.16678596993556,0.0223071281582446,2.5401975512472057,-2.5401975512472057
74,27,42.0116,-87.8142,1,7508 W Touhy Ave,165.20825515947467,0.1126033591629416,2.5372130630353373,-2.5372130630353373
4,63,41.6632,-87.6337,1,445 W 127th St,176.57765731793543,0.1577210135379435,2.4743658172315017,-2.4743658172315017
40,59,41.8442,-87.653,1,2740 S Archer Ave,233.4028268551237,0.2649668743713808,2.4536372681638934,-2.4536372681638934
72,37,42.0014,-87.7625,1,6616 N Central Ave,108.91575091575092,0.0945012041728736,2.209056538560957,-2.209056538560957
25,49,41.7684,-87.70285,2,6909 S Kedzie Ave | 6818 S Kedzie Ave,98.93388641165032,0.0655180614755794,2.2051583854739336,-2.2051583854739336
13,52,41.7065,-87.6892,1,2700 W 103rd St,90.50967741935484,0.0384010867448247,2.2045181961884737,-2.2045181961884737
67,43,41.9755,-87.7317,1,4124 W Foster Ave,133.1412213740458,0.1862397406851081,2.14157684630956,-2.14157684630956
25,69,41.7655,-87.60419999999999,2,7122 S South Chicago Ave | 819 E 71st St,122.62234983922828,0.1616606760809412,2.1317643639708024,-2.1317643639708024
60,24,41.94473333333334,-87.8276,3,8043 W Addison St | 8006 W Addison St | 8020 W Forest Preserve Ave,147.69746989198134,0.2523588508354189,2.067497265142126,-2.067497265142126
38,56,41.8324,-87.6657,1,3358 S Ashland Ave,533.1162790697674,0.8592010196839085,2.012152666643876,-2.012152666643876
66,40,41.9701,-87.7477,1,4909 N Cicero Ave,200.45346062052505,0.4415580013093033,1.9087273342583813,-1.9087273342583813
30,67,41.7935,-87.6119,1,536 E Morgan Dr,146.1113216485078,0.3578309022775877,1.8064272989916121,-1.8064272989916121
70,32,41.99,-87.7875,1,5941 N Nagle,113.51162790697674,0.2952031981969974,1.7234744270690379,-1.7234744270690379
20,71,41.7442,-87.5933,1,1215 E 83RD ST,127.69377990430624,0.3825689642794156,1.6277029235049216,-1.6277029235049216
72,52,42.0003,-87.6898,1,6523 N Western Ave,58.29737402413059,0.1087257298288951,1.603129146286136,-1.603129146286136
61,51,41.9466,-87.6905,1,2549 W Addison St,66.46821094135042,0.1541264193466287,1.5967865098557694,-1.5967865098557694
65,39,41.9679,-87.7523,1,4949 W Lawrence Ave,166.6672845227062,0.5214810467592076,1.5727651662614162,-1.5727651662614162
30,58,41.793895,-87.6583,2,1334 W Garfield Blvd | 1315 W Garfield Blvd,109.07976764396356,0.359723130435452,1.5362406786894613,-1.5362406786894613
52,49,41.9014,-87.7021,1,1111 N Humboldt Blvd,93.96445610687024,0.3312803333240254,1.4665095778415889,-1.4665095778415889
62,50,41.95399999999999,-87.69640000000001,2,2705 W Irving Park Ave | 2712 W Irving Park Ave,182.3050771928487,0.6485431496152534,1.405304804540042,-1.405304804540042
13,76,41.7081,-87.5676,1,2310 E 103rd St,162.99305555555554,0.6050585186945149,1.3862965371297982,-1.3862965371297982
62,51,41.9539,-87.6913,1,2501 W Irving Park Rd,65.57769304099142,0.2404364480295492,1.3605231769392752,-1.3605231769392752
44,50,41.8604,-87.6987,1,2900 W Ogden  Ave,122.35128144838936,0.491731477199479,1.3527102615021072,-1.3527102615021072
